SalesOrderID,ShipMethodID,OnlineOrderFlag,CreditCardID,SubTotal,TaxAmt,Freight,TotalDue,SalesPersonID
43659,5,0,16281,20565.6206,1971.5149,616.0984,23153.2339,279
43660,5,1,5618,1294.2529,124.2483,38.8276,1457.3288,279
43661,5,1,1346,32726.4786,3153.7696,985.553,36865.8012,282
43662,5,0,10456,28832.5289,2775.1646,867.2389,32474.9324,282
43663,5,1,4322,419.4589,40.2681,12.5838,472.3108,276
43664,5,0,806,24432.6088,2344.9921,732.81,27510.4109,280
43665,5,0,15232,14352.7713,1375.9427,429.9821,16158.6961,283
43666,5,0,13349,5056.4896,486.3747,151.9921,5694.8564,276
43667,5,0,10370,6107.082,586.1203,183.1626,6876.3649,277
43668,5,0,1566,35944.1562,3461.7654,1081.8017,40487.7233,282
43669,5,0,15538,714.7043,70.5175,22.0367,807.2585,283
43670,5,0,18017,6122.082,587.5603,183.6126,6893.2549,275
43671,5,0,13693,8128.7876,780.8136,244.0042,9153.6054,283
43672,5,0,3980,6124.182,587.6023,183.6257,6895.41,282
43673,5,0,1417,3746.2015,357.9614,111.8629,4216.0258,275
43674,5,0,19204,2624.382,251.9407,78.7315,2955.0542,282
43675,5,0,11886,5716.3102,546.8759,170.8987,6434.0848,277
43676,5,0,18153,14203.458,1363.266,426.0206,15992.7446,275
43677,5,0,14030,7793.1108,747.1011,233.4691,8773.681,278
43678,5,0,5093,9799.9243,942.074,294.3981,11036.3964,281
43679,5,0,5439,1316.0575,125.8032,39.3135,1481.1742,278
43680,5,0,6653,11397.4992,1093.6394,341.7623,12832.9009,281
43681,5,0,5301,13787.5434,1323.0668,413.4584,15524.0686,279
43682,5,0,76,3875.7229,371.8002,116.1876,4363.7107,275
43683,5,0,13045,42813.4333,4107.1489,1283.484,48204.0662,283
43684,5,0,267,5596.4705,537.2612,167.8941,6301.6258,279
43685,5,0,2519,2736.5678,263.201,82.2503,3082.0191,279
43686,5,0,14612,3463.2998,332.4768,103.899,3899.6756,283
43687,5,0,3235,1258.3767,120.8042,37.7513,1416.9322,275
43688,5,0,12399,12718.0844,1222.8838,382.1512,14323.1194,275
43689,5,0,13054,33997.3702,3271.4942,1022.3419,38291.2063,277
43690,5,0,2337,1297.5901,124.2027,38.8133,1460.6061,275
43691,5,0,242,874.794,83.9802,26.2438,985.018,277
43692,5,0,7176,38510.8973,3696.3979,1155.1244,43362.4196,281
43693,5,0,8937,20541.4072,1969.5564,615.4864,23126.45,275
43694,5,0,7083,20645.634,1978.3257,618.2268,23242.1865,279
43695,5,0,10163,39373.781,3787.4632,1183.5823,44344.8265,279
43696,5,0,1402,419.4589,40.2681,12.5838,472.3108,279
43697,1,1,4319,3578.27,286.2616,89.4568,3953.9884,NULL
43698,1,1,16625,3399.99,271.9992,84.9998,3756.989,NULL
43699,1,1,5796,3399.99,271.9992,84.9998,3756.989,NULL
43700,1,1,12860,699.0982,55.9279,17.4775,772.5036,NULL
43701,1,1,11150,3399.99,271.9992,84.9998,3756.989,NULL
43702,1,0,8087,3578.27,286.2616,89.4568,3953.9884,NULL
43703,1,0,9497,3578.27,286.2616,89.4568,3953.9884,NULL
43704,1,0,1988,3374.99,269.9992,84.3748,3729.364,NULL
43705,1,0,7205,3399.99,271.9992,84.9998,3756.989,NULL
43706,1,0,10912,3578.27,286.2616,89.4568,3953.9884,NULL
43707,1,0,19069,3578.27,286.2616,89.4568,3953.9884,NULL
43708,1,0,4369,699.0982,55.9279,17.4775,772.5036,NULL
43709,1,0,15524,3578.27,286.2616,89.4568,3953.9884,NULL
43710,1,0,5764,3578.27,286.2616,89.4568,3953.9884,NULL
43711,1,1,3043,3578.27,286.2616,89.4568,3953.9884,NULL
43712,1,1,6213,3578.27,286.2616,89.4568,3953.9884,NULL
43713,1,1,16570,3578.27,286.2616,89.4568,3953.9884,NULL
43714,1,1,15963,3578.27,286.2616,89.4568,3953.9884,NULL
43715,1,1,7985,3578.27,286.2616,89.4568,3953.9884,NULL
43716,1,1,5873,3578.27,286.2616,89.4568,3953.9884,NULL
43717,1,1,5700,699.0982,55.9279,17.4775,772.5036,NULL
43718,1,1,3049,3578.27,286.2616,89.4568,3953.9884,NULL
43719,1,1,5998,3578.27,286.2616,89.4568,3953.9884,NULL
43720,1,1,2765,3578.27,286.2616,89.4568,3953.9884,NULL
43721,1,1,11950,3578.27,286.2616,89.4568,3953.9884,NULL
43722,1,1,12191,3578.27,286.2616,89.4568,3953.9884,NULL
43723,1,1,16949,699.0982,55.9279,17.4775,772.5036,NULL
43724,1,1,6336,3578.27,286.2616,89.4568,3953.9884,NULL
43725,1,1,6640,3578.27,286.2616,89.4568,3953.9884,NULL
43726,1,1,8533,699.0982,55.9279,17.4775,772.5036,NULL
43727,1,1,11407,3578.27,286.2616,89.4568,3953.9884,NULL
43728,1,1,15630,3578.27,286.2616,89.4568,3953.9884,NULL
43729,1,1,2636,3399.99,271.9992,84.9998,3756.989,NULL
43730,1,1,13323,3399.99,271.9992,84.9998,3756.989,NULL
43731,1,1,14302,3578.27,286.2616,89.4568,3953.9884,NULL
43732,1,1,10882,3374.99,269.9992,84.3748,3729.364,NULL
43733,1,1,10600,3578.27,286.2616,89.4568,3953.9884,NULL
43734,1,1,15365,3578.27,286.2616,89.4568,3953.9884,NULL
43735,1,1,6526,3578.27,286.2616,89.4568,3953.9884,NULL
43736,1,1,1416,3399.99,271.9992,84.9998,3756.989,NULL
43737,1,1,NULL,3578.27,286.2616,89.4568,3953.9884,NULL
43738,1,1,12005,3578.27,286.2616,89.4568,3953.9884,NULL
43739,1,1,NULL,3578.27,286.2616,89.4568,3953.9884,NULL
43740,1,1,18137,3578.27,286.2616,89.4568,3953.9884,NULL
43741,1,1,4679,3578.27,286.2616,89.4568,3953.9884,NULL
43742,1,1,17254,3578.27,286.2616,89.4568,3953.9884,NULL
43743,1,1,1546,3399.99,271.9992,84.9998,3756.989,NULL
43744,1,1,12980,3578.27,286.2616,89.4568,3953.9884,NULL
43745,1,1,9626,3578.27,286.2616,89.4568,3953.9884,NULL
43746,1,1,5138,3578.27,286.2616,89.4568,3953.9884,NULL
43747,1,1,16044,3578.27,286.2616,89.4568,3953.9884,NULL
43748,1,1,14948,3578.27,286.2616,89.4568,3953.9884,NULL
43749,1,1,12504,3578.27,286.2616,89.4568,3953.9884,NULL
43750,1,1,15541,3578.27,286.2616,89.4568,3953.9884,NULL
43751,1,1,711,3578.27,286.2616,89.4568,3953.9884,NULL
43752,1,1,2736,3578.27,286.2616,89.4568,3953.9884,NULL
43753,1,1,7588,3578.27,286.2616,89.4568,3953.9884,NULL
43754,1,1,9734,3578.27,286.2616,89.4568,3953.9884,NULL
43755,1,1,14614,3578.27,286.2616,89.4568,3953.9884,NULL
43756,1,1,9528,699.0982,55.9279,17.4775,772.5036,NULL
43757,1,1,12801,3374.99,269.9992,84.3748,3729.364,NULL
43758,1,1,17093,3578.27,286.2616,89.4568,3953.9884,NULL
43759,1,1,11314,3578.27,286.2616,89.4568,3953.9884,NULL
43760,1,1,7485,3578.27,286.2616,89.4568,3953.9884,NULL
43761,1,1,11678,3578.27,286.2616,89.4568,3953.9884,NULL
43762,1,1,4503,3578.27,286.2616,89.4568,3953.9884,NULL
43763,1,1,17110,3578.27,286.2616,89.4568,3953.9884,NULL
43764,1,1,10644,3578.27,286.2616,89.4568,3953.9884,NULL
43765,1,1,10245,3399.99,271.9992,84.9998,3756.989,NULL
43766,1,1,10469,3578.27,286.2616,89.4568,3953.9884,NULL
43767,1,1,8810,3374.99,269.9992,84.3748,3729.364,NULL
43768,1,1,18040,3578.27,286.2616,89.4568,3953.9884,NULL
43769,1,1,7388,3578.27,286.2616,89.4568,3953.9884,NULL
43770,1,1,16136,3578.27,286.2616,89.4568,3953.9884,NULL
43771,1,1,16934,699.0982,55.9279,17.4775,772.5036,NULL
43772,1,1,12834,3578.27,286.2616,89.4568,3953.9884,NULL
43773,1,1,19057,3578.27,286.2616,89.4568,3953.9884,NULL
43774,1,1,1311,3578.27,286.2616,89.4568,3953.9884,NULL
43775,1,1,6918,3399.99,271.9992,84.9998,3756.989,NULL
43776,1,1,10653,3578.27,286.2616,89.4568,3953.9884,NULL
43777,1,1,1850,3578.27,286.2616,89.4568,3953.9884,NULL
43778,1,1,9930,3399.99,271.9992,84.9998,3756.989,NULL
43779,1,1,6901,699.0982,55.9279,17.4775,772.5036,NULL
43780,1,1,17097,3578.27,286.2616,89.4568,3953.9884,NULL
43781,1,1,5269,3578.27,286.2616,89.4568,3953.9884,NULL
43782,1,1,9916,3578.27,286.2616,89.4568,3953.9884,NULL
43783,1,1,4651,3578.27,286.2616,89.4568,3953.9884,NULL
43784,1,1,15794,3578.27,286.2616,89.4568,3953.9884,NULL
43785,1,1,3584,3578.27,286.2616,89.4568,3953.9884,NULL
43786,1,1,12315,3578.27,286.2616,89.4568,3953.9884,NULL
43787,1,1,NULL,3399.99,271.9992,84.9998,3756.989,NULL
43788,1,1,2999,3374.99,269.9992,84.3748,3729.364,NULL
43789,1,1,13143,3374.99,269.9992,84.3748,3729.364,NULL
43790,1,1,2574,3399.99,271.9992,84.9998,3756.989,NULL
43791,1,1,2480,3578.27,286.2616,89.4568,3953.9884,NULL
43792,1,1,3696,3578.27,286.2616,89.4568,3953.9884,NULL
43793,1,1,11981,3399.99,271.9992,84.9998,3756.989,NULL
43794,1,1,103,3399.99,271.9992,84.9998,3756.989,NULL
43795,1,1,10180,3578.27,286.2616,89.4568,3953.9884,NULL
43796,1,1,14408,699.0982,55.9279,17.4775,772.5036,NULL
43797,1,1,3803,3578.27,286.2616,89.4568,3953.9884,NULL
43798,1,1,15729,3578.27,286.2616,89.4568,3953.9884,NULL
43799,1,1,10936,3578.27,286.2616,89.4568,3953.9884,NULL
43800,1,1,1500,3578.27,286.2616,89.4568,3953.9884,NULL
43801,1,1,10067,3578.27,286.2616,89.4568,3953.9884,NULL
43802,1,1,15557,3578.27,286.2616,89.4568,3953.9884,NULL
43803,1,1,2467,3578.27,286.2616,89.4568,3953.9884,NULL
43804,1,1,13404,3578.27,286.2616,89.4568,3953.9884,NULL
43805,1,1,7010,699.0982,55.9279,17.4775,772.5036,NULL
43806,1,1,15755,3578.27,286.2616,89.4568,3953.9884,NULL
43807,1,1,16891,3578.27,286.2616,89.4568,3953.9884,NULL
43808,1,1,10353,3578.27,286.2616,89.4568,3953.9884,NULL
43809,1,1,14752,3578.27,286.2616,89.4568,3953.9884,NULL
43810,1,1,12777,3399.99,271.9992,84.9998,3756.989,NULL
43811,1,1,8888,3399.99,271.9992,84.9998,3756.989,NULL
43812,1,1,7442,3578.27,286.2616,89.4568,3953.9884,NULL
43813,1,1,10022,3374.99,269.9992,84.3748,3729.364,NULL
43814,1,1,1085,3374.99,269.9992,84.3748,3729.364,NULL
43815,1,1,12070,3578.27,286.2616,89.4568,3953.9884,NULL
43816,1,1,14211,3578.27,286.2616,89.4568,3953.9884,NULL
43817,1,1,10904,3578.27,286.2616,89.4568,3953.9884,NULL
43818,1,1,13485,3578.27,286.2616,89.4568,3953.9884,NULL
43819,1,1,5054,3399.99,271.9992,84.9998,3756.989,NULL
43820,1,1,12947,3578.27,286.2616,89.4568,3953.9884,NULL
43821,1,1,6912,3578.27,286.2616,89.4568,3953.9884,NULL
43822,1,1,17504,3578.27,286.2616,89.4568,3953.9884,NULL
43823,1,1,7639,699.0982,55.9279,17.4775,772.5036,NULL
43824,1,1,7138,699.0982,55.9279,17.4775,772.5036,NULL
43825,1,1,16730,3578.27,286.2616,89.4568,3953.9884,NULL
43826,1,1,13554,3374.99,269.9992,84.3748,3729.364,NULL
43827,1,1,7542,699.0982,55.9279,17.4775,772.5036,NULL
43828,1,1,17303,3578.27,286.2616,89.4568,3953.9884,NULL
43829,1,1,3742,3578.27,286.2616,89.4568,3953.9884,NULL
43830,1,1,11691,3578.27,286.2616,89.4568,3953.9884,NULL
43831,1,1,3749,3374.99,269.9992,84.3748,3729.364,NULL
43832,1,1,10429,3578.27,286.2616,89.4568,3953.9884,NULL
43833,1,1,15641,3578.27,286.2616,89.4568,3953.9884,NULL
43834,1,1,16716,3374.99,269.9992,84.3748,3729.364,NULL
43835,1,1,2755,3374.99,269.9992,84.3748,3729.364,NULL
43836,1,1,6966,699.0982,55.9279,17.4775,772.5036,NULL
43837,1,1,NULL,3374.99,269.9992,84.3748,3729.364,NULL
43838,1,1,1178,3578.27,286.2616,89.4568,3953.9884,NULL
43839,1,1,15759,3578.27,286.2616,89.4568,3953.9884,NULL
43840,1,1,16913,699.0982,55.9279,17.4775,772.5036,NULL
43841,1,1,5858,3578.27,286.2616,89.4568,3953.9884,NULL
43842,1,1,17051,3578.27,286.2616,89.4568,3953.9884,NULL
43843,5,0,13712,32940.1556,3174.1988,991.9371,37106.2915,275
43844,5,0,5577,20249.94,1943.9942,607.4982,22801.4324,282
43845,5,0,2364,8580.0739,823.6669,257.3959,9661.1367,279
43846,5,0,5528,919.5201,90.6637,28.3324,1038.5162,278
43847,5,0,181,908.8209,86.9292,27.1654,1022.9155,278
43848,5,0,15882,18269.946,1753.9148,548.0984,20571.9592,283
43849,5,0,14559,20544.7015,1969.9765,615.6177,23130.2957,274
43850,5,0,11072,10183.7952,982.9377,307.168,11473.9009,282
43851,5,0,8979,6783.7679,651.4975,203.593,7638.8584,275
43852,5,0,8043,2024.994,194.3994,60.7498,2280.1432,282
43853,5,0,12279,26354.922,2530.0725,790.6477,29675.6422,282
43854,5,0,9855,1749.588,167.9604,52.4876,1970.036,282
43855,5,0,14454,10993.3516,1058.7224,330.8508,12382.9248,278
43856,5,0,18049,2036.394,195.3874,61.0586,2292.84,282
43857,5,0,18260,7186.5371,689.052,215.3287,8090.9178,282
43858,5,0,3274,13694.3494,1317.0672,411.5835,15423.0001,275
43859,5,0,11840,3911.5991,375.2443,117.2639,4404.1073,276
43860,5,0,19181,10993.3942,1057.2843,330.4013,12381.0798,280
43861,5,0,6675,23401.1062,2244.4088,701.3777,26346.8927,279
43862,5,0,6777,31000.7804,2987.8703,933.7095,34922.3602,279
43863,5,0,11717,1718.8983,164.9658,51.5518,1935.4159,277
43864,5,0,1896,38474.3572,3703.8969,1157.4678,43335.7219,276
43865,5,0,4623,13196.0548,1268.2589,396.3309,14860.6446,277
43866,5,0,14363,4076.388,391.2268,122.2584,4589.8732,280
43867,5,0,1359,32673.0446,3149.2911,984.1535,36806.4892,280
43868,5,0,10628,2146.962,206.1084,64.4089,2417.4793,282
43869,5,0,6386,49193.9864,4734.607,1479.5647,55408.1581,276
43870,5,0,18323,4316.9864,413.6232,129.2572,4859.8668,275
43871,5,0,4941,9398.8972,899.949,281.2341,10580.0803,281
43872,5,0,3368,11584.459,1110.9858,347.1831,13042.6279,276
43873,5,0,15090,41250.4391,3973.725,1241.789,46465.9531,276
43874,5,0,13917,419.4589,40.2681,12.5838,472.3108,277
43875,5,0,204,121761.9396,11871.5033,3709.8448,137343.2877,279
43876,5,0,6005,7135.2649,686.9474,214.6711,8036.8834,275
43877,5,0,5343,20628.5745,1977.1163,617.8489,23223.5397,280
43878,5,0,7167,4079.988,391.6788,122.3996,4594.0664,275
43879,5,0,14729,21718.7639,2087.8858,652.4643,24459.114,282
43880,5,0,18316,15479.55,1488.4458,465.1393,17433.1351,278
